         88098901 function calls (85082861 primitive calls) in 93.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.032    0.000    0.032    0.000 {built-in method marshal.loads}
    56359    0.031    0.000    0.064    0.000 {built-in method builtins.sorted}
    42193    0.031    0.000    1.949    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\voxel_handler.py:89(update)
81577/73232    0.031    0.000    0.430    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
80649/73291    0.030    0.000    0.109    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\misc.py:63(unliteral)
   104781    0.030    0.000    0.614    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:611(list_vars)
5173/1654    0.030    0.000   12.520    0.008 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typeinfer.py:568(resolve)
    42193    0.030    0.000    0.262    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\camera.py:32(update)
19380/11878    0.030    0.000    0.270    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\runtime\context.py:343(get_meminfos)
    14034    0.029    0.000    0.034    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\compiler_machinery.py:428(is_registered)
     7688    0.029    0.000    0.079    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:1903(_vertex_array)
   187760    0.029    0.000    0.029    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:13(is_used)
        1    0.029    0.029    5.047    5.047 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\world.py:87(build_chunks)
